,A_Accepted=1,A_Activated=0,A_Finalized=1,A_Preaccepted=1,O_Cancelled=0,O_Cancelled=1,O_Created=1,O_Declined=1,O_Selected=1,O_Sent=1,O_Sent_back=0,O_Sent_back=1,W_Assess_fraude=0,W_Assess_fraude=1,W_Assessing_application=0,W_Assessing_application=1,W_Calling_after_sent_offers=1,W_Calling_to_add_info_app=0,W_Calling_to_add_info_app=1,W_Change_contact_details=0,W_Filling_info_application=1,W_Fixing_incoming_lead=0,W_Fixing_incoming_lead=1,label
0,,,,,0.06668341252263525,,0.0,0.0,0.0,0.0,,0.020474427366058676,-0.0702496301701501,,,-0.013946055618348961,,-0.0061310690777668575,,,,0.013125742523221564,,0
1,0.0,0.0,0.0,0.0,,-0.06634474872308123,,,,,-0.027383724583090883,,-0.05116863525696394,,-0.006209733861845319,,,-0.003477730771842814,,,,,-0.007177093036270831,0
2,0.0,0.0,0.0,0.0,0.06676697705410713,,,,,,,0.02330200778736256,,0.06716808878565042,,0.014803541806306377,,,0.007015478122465277,,,0.017676146728421566,,0
3,,,,,0.06135517870645037,,0.0,,,,-0.02192474403274176,,-0.07023561705303712,,-0.0206369728069082,,0.0,-0.021092889572476344,,0.0,0.0,0.0370241488046488,,0
4,,,,,0.06508623965861711,,0.0,0.0,0.0,0.0,,0.025315016201945244,-0.0696050123644552,,,0.017272270503191117,,-0.013603056757828661,,,,,-0.01834024182508475,0
